hidden1_dim,hidden2_dim,learning_rate,epochs,patience,number_of_batches,learning_shrink,input_dim,random_state,train_mse,val_mse,best_val_loss_train_loop,final_learning_rate,epochs_ran,status,seconds,error
64,128,0.01,100,3,400,True,16,0,0.02942423307424956,0.0295108883628358,0.0293195151485595,0.0081,30.0,ok,57.657,
64,128,0.01,100,3,400,False,16,0,0.02896126926634322,0.0289578721489454,0.0290206079956618,0.01,50.0,ok,96.179,
64,128,0.01,100,3,4000,True,16,0,0.03143854002122551,0.0314355004781306,0.0293776386690902,0.009,8.0,ok,17.434,
64,128,0.01,100,3,4000,False,16,0,0.029338212878704147,0.0294113480128331,0.029004987535881,0.01,13.0,ok,25.301,
64,128,0.01,100,5,40,True,16,0,0.03175143726109516,0.0318194790823148,0.0319009619858321,0.003486784401,100.0,ok,181.111,
64,128,0.01,100,5,40,False,16,0,0.030791395033126907,0.0307533134588154,0.0308999988067394,0.01,100.0,ok,183.218,
64,128,0.01,100,5,400,True,16,0,0.028961361078504312,0.0290302438311593,0.0290048408229952,0.0016677181699666,74.0,ok,118.842,
64,128,0.01,100,5,400,False,16,0,0.02889777240046257,0.0289248780410098,0.0289953939295748,0.01,51.0,ok,84.019,
64,128,0.01,100,5,4000,True,16,0,0.02920315207315254,0.0292317406763288,0.028899007149601,0.0081,14.0,ok,26.038,
64,128,0.01,100,5,4000,False,16,0,0.030441633835932156,0.0304185711359304,0.0289729504094483,0.01,17.0,ok,31.905,
64,128,0.01,100,10,40,True,16,0,0.03130627989456357,0.0313153376440696,0.0313549034973944,0.002541865828329,100.0,ok,163.926,
64,128,0.01,100,10,40,False,16,0,0.030707558294356663,0.0307246952243735,0.030759050129406,0.01,100.0,ok,174.4,
64,128,0.01,100,10,400,True,16,0,0.02895764130359111,0.0290279912957916,0.0290438282910971,0.0009847709021836,89.0,ok,155.251,
64,128,0.01,100,10,400,False,16,0,0.028939168568150174,0.0290240087142992,0.0288130932508849,0.01,100.0,ok,193.665,
64,128,0.01,100,10,4000,True,16,0,0.028609343056091485,0.028710738107723,0.0286690799804764,0.0007976644307687,91.0,ok,165.48,
64,128,0.01,100,10,4000,False,16,0,0.028846088171615308,0.0289584927288588,0.0288982160484427,0.01,28.0,ok,50.925,
64,128,0.01,100,20,40,True,16,0,0.03104830125196126,0.0311251620851747,0.0311148707642564,0.0031381059609,100.0,ok,169.544,
64,128,0.01,100,20,40,False,16,0,0.030898522227297397,0.0309064203847857,0.0310196835479954,0.01,100.0,ok,183.094,
64,128,0.01,100,20,400,True,16,0,0.028870947676115328,0.0289060823932392,0.0289035773517436,0.0007178979876918,96.0,ok,184.213,
64,128,0.01,100,20,400,False,16,0,0.02885608610627662,0.0289358622844155,0.0288838416118224,0.01,100.0,ok,187.275,
64,128,0.01,100,20,4000,True,16,0,0.028599171306922338,0.0287098902622477,0.0286852821012885,0.0009847709021836,91.0,ok,166.986,
64,128,0.01,100,20,4000,False,16,0,0.02900886061181746,0.0291210465897612,0.0288066815264986,0.01,36.0,ok,67.406,
64,128,0.001,100,1,40,True,16,0,0.042824478602027795,0.0428908946845148,0.0430113176916672,0.001,100.0,ok,179.912,
64,128,0.001,100,1,40,False,16,0,0.04494164295776045,0.044963739586246,0.0456143813101552,0.001,100.0,ok,171.422,
64,128,0.001,100,1,400,True,16,0,0.0316496006040542,0.0317308149450509,0.0316787317964273,0.0004782969,100.0,ok,186.45,
128,32,0.01,100,20,40,True,16,0,,0.0304057240352495,0.0304135857853584,0.0305438609646705,0.0022876792454961,100,ok,129.735
128,32,0.01,100,20,40,False,16,0,,0.0302666636440169,0.0302913886369991,0.0302901866395441,0.01,100,ok,131.924
128,32,0.01,100,20,400,True,16,0,,0.0289344443093021,0.0289874712319019,0.0289909871744242,0.0005814973700304,100,ok,128.551
128,32,0.01,100,20,400,False,16,0,,0.0288264458701721,0.0289020429396434,0.0288823085192093,0.01,100,ok,133.353
128,32,0.01,100,20,4000,True,16,0,,0.0286750411985588,0.0287521948683295,0.0287254215594106,0.0004239115827521,100,ok,111.228
128,32,0.01,100,20,4000,False,16,0,,0.0283180120250712,0.0284247813597748,0.028350141550455,0.01,100,ok,112.467
128,32,0.001,100,1,40,True,16,0,,0.0424696871201087,0.0423471089566041,0.0427015841742889,0.001,100,ok,147.369
128,32,0.001,100,1,40,False,16,0,,0.0471910033932009,0.047039611064162,0.0475190446614054,0.001,100,ok,143.007
128,32,0.001,100,1,400,True,16,0,,0.0308483674615874,0.0308914132633534,0.0309152192202819,0.000387420489,92,ok,118.836
128,32,0.001,100,1,400,False,16,0,,0.0302306599119334,0.0302829921087702,0.0303477651695455,0.001,100,ok,148.377
128,32,0.001,100,1,4000,True,16,0,,0.0291975393383134,0.0292616167427961,0.0292431951473011,0.000729,24,ok,26.722
128,32,0.001,100,1,4000,False,16,0,,0.0291388133074202,0.0291964435027585,0.0291430667013477,0.001,30,ok,33.432
128,32,0.001,100,3,40,True,16,0,,0.0486042653831383,0.048843247923889,0.0488554221220943,0.001,100,ok,151.488
128,32,0.001,100,3,40,False,16,0,,0.0411353037625946,0.0411448521096834,0.0412562062443545,0.001,100,ok,141.983
128,32,0.001,100,3,400,True,16,0,,0.030668557228067,0.0306578008805124,0.0307114449152945,0.0001667718169966,100,ok,135.907
